%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354210903019192963,3156,1354210903019192963,9.79717439318e-17,-0.0273350928745,0.0294376580501,-0.0273702224788,0.00708638800043,0.0,0.0273702224788,0.000997579,20.6921251024,1.40897026704,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903029211645,3157,1354210903029211645,9.79717439318e-17,-0.0272938834739,-0.017505114878,-0.0272801186774,0.00393804367231,0.0,0.0272801186774,0.000998139,0.0,1.77368650174,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903039209520,3158,1354210903039209520,9.79717439318e-17,-0.0273419069662,-0.016501935134,-0.0273144829283,-0.00497828310525,0.0,0.0273144829283,0.001012006,0.0,1.74681675134,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903049211141,3159,1354210903049211141,9.79717439318e-17,-0.0273489721126,-0.000965640468814,-0.0273503094334,-0.000797620820327,0.0,0.0273503094334,0.000997364,0.0,1.72117147539,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903059176569,3160,1354210903059176569,9.79717439318e-17,-0.0274023386887,0.000106853719841,-0.0273776203521,-0.00535192587027,0.0,0.0273776203521,0.000966305,0.0,1.62847417084,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903069181916,3161,1354210903069181916,9.79717439318e-17,-0.0274719394437,0.00150236480299,-0.0274533344992,-0.00692418723657,0.0,0.0274533344992,0.000982199,0.0,1.51455122933,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903079199162,3162,1354210903079199162,9.79717439318e-17,-0.0275529668659,-0.0276162880923,-0.0275401189888,-0.00804980567457,0.0,0.0275401189888,0.001002074,0.0,1.45703201409,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903089211512,3163,1354210903089211512,9.79717439318e-17,-0.027561036906,0.0186879553411,-0.0275932613772,-0.00088331172521,0.0,0.0275932613772,0.001003635,0.0,1.37408811507,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903099212242,3164,1354210903099212242,9.79717439318e-17,-0.0276018676213,-0.0112516018482,-0.0275913096711,-0.00399240987747,0.0,0.0275913096711,0.00100143,0.0,1.38081795484,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903109223647,3165,1354210903109223647,9.79717439318e-17,-0.0275942724874,-0.0114060652387,-0.0275832028959,0.000797346613309,0.0,0.0275832028959,0.001026655,0.0,1.38360885374,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
