%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354825743466231282,1425,1354825743466231282,4.1918139409e-05,-0.00106375451049,0.0214908301042,-0.00109205678268,0.00540964025008,0.0,0.00113397492209,0.001001604,0.0,-0.537779722073,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743476227286,1426,1354825743476227286,4.1918139409e-05,-0.000979913349634,0.0044230745038,-0.000992005299726,0.00838059350915,0.0,0.00103392343913,0.000999295,0.0,-0.544333497623,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743486228555,1427,1354825743486228555,4.1918139409e-05,-0.00106252410105,0.0214606112668,-0.00105947292218,-0.00823788046204,0.0,0.00110139106159,0.000999583,0.0,-0.665100234027,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743496232138,1428,1354825743496232138,4.1918139409e-05,-0.000979429091896,0.00439788479832,-0.000994638190614,0.00835109253028,0.0,0.00103655633002,0.001017438,0.0,-0.870829693732,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743506197721,1429,1354825743506197721,4.1918139409e-05,-0.000988415241777,-0.0108363446305,-0.000975672845824,-0.000658962754694,0.0,0.00101759098523,0.000999909,0.0,-0.932157580757,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743516200342,1430,1354825743516200342,4.1918139409e-05,-0.00110386704345,-0.023860270554,-0.00105522896288,-0.011583338028,0.0,0.00109714710228,0.000994827,0.0,-0.722668105547,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743526202433,1431,1354825743526202433,4.1918139409e-05,-0.00116551440176,0.00811775380138,-0.00115055325018,-0.00612032234027,0.0,0.00119247138959,0.000970946,0.0,-0.450822159388,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743536180984,1432,1354825743536180984,4.1918139409e-05,-0.00114482681517,0.00770045448234,-0.00116369399484,0.00209934976346,0.0,0.00120561213425,0.00098289,0.0,-0.447564758746,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743546181082,1433,1354825743546181082,4.1918139409e-05,-0.00114364540239,0.00768643562088,-0.0011531278699,2.49426559769e-05,0.0,0.00119504600931,0.000982376,0.0,-0.40536294136,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743556219244,1434,1354825743556219244,4.1918139409e-05,-0.00113061843698,-0.00794642513037,-0.00112360914793,0.0012611944631,0.0,0.00116552728734,0.001018818,0.0,-0.25772405487,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743566223346,1435,1354825743566223346,4.1918139409e-05,-0.00110770448164,-0.0237984233669,-0.00110242544461,0.00237954704261,0.0,0.00114434358402,0.001024827,0.0,-0.580442950026,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743576196834,1436,1354825743576196834,4.1918139409e-05,-0.00105768668779,0.02132733018,-0.00107632632236,0.00480526334832,0.0,0.00111824446177,0.000999227,0.0,-0.592279546483,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743586196582,1437,1354825743586196582,4.1918139409e-05,-0.00102894191129,-0.00999698894489,-0.00104591554097,0.00276671362809,0.0,0.00108783368038,0.000998823,0.0,-0.450517168498,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
